Q34211	Yasser%20Arafat%20signature.svg
Q34296	Woodrow%20Wilson%20Signature%202.svg
Q34389	WhitneyHoustonSignature.svg
Q34417	Firma%20del%20Rey%20Felipe%20II.svg
Q34474	Aleksandr%20Solzhenitsyn%20signature.svg
Q34479	Showa%20shomei.svg
Q34618	Courbet%20autograph.png
Q34628	Lessing%20Unterschrift.svg
Q34660	JKRowlingsignature.svg
Q34661	Klimt%2C%20Gustav%20Signatur%20Signatur.jpg
Q34670	Albert%20Camus%20signature%20acte%20mariage.svg
Q34670	Albert%20Camus%20signature.svg
Q34743	Rudyard%20Kipling%20signature.svg
Q34787	Friedrich%20Engels%20Signature.svg
Q34836	UlyssesSGrantSignature.svg
Q34851	Elizabeth%20Taylor%20signature.svg
Q34969	Benjamin%20Franklin%20Signature.svg
Q34981	Isaac%20Asimov%20signature.svg
Q35064	Agatha%20Christie%27s%20signature.png
Q35149	Wilhelm%20R%C3%B6ntgen%20signature.svg
Q35155	Thomas%20Pynchon%20signature.svg
Q35236	Herbert%20Clark%20Hoover%20Signature.svg
Q35314	Nikita%20Khrushchev%20Signature2.svg
Q35548	Cezanne%20autograph.svg
Q35610	Arthur%20Conan%20Doyle%20Signature.svg
Q35802	Spinoza%27s%20signature%20%281664%29.svg
Q36014	Ho%20Chi%20Minh%20Signature.svg
Q36153	Beyonc%C3%A9%20autograph.svg
Q36184	Bram%20Stoker%20signature.svg
Q36233	Vaclav%20Havel%20Signature.svg
Q36268	Brigitte%20Bardot%20Signature.svg
Q36322	Jane%20Austen%20signature%20from%20her%20will.svg
Q36450	Catherine%20The%20Great%20Signature.svg
Q36517	Francis%20Drake%20Signature.svg
Q36591	Vladimir%20Nabokov%20signature.svg
Q36620	Tycho%20Brahe%20Signature.svg
Q36661	Henrik%20Ibsen%27s%20signature%2020th%20of%20June%201871.jpg
Q36661	Henrik%20Ibsen%27s%20signature.png
Q36771	Herman%20Heijermans%20signature.png
Q36949	Unterschrift%20Robert%20De%20Niro%20%28Autogramm%29%20US-amerikanischer%20Schauspieler.png
Q36951	Marai%20alairasa.gif
Q37030	Thomas%20Mann%20signature.svg
Q37060	Assinatura%20Jos%C3%A9%20Saramago.png
Q37079	Tom%20Cruise%20signature.svg
Q37103	Florence%20Nightingale%20Signature.svg
Q37134	Friedrich%20Wilhelm%20III%20signature.png
Q37150	Lana%20Del%20Rey%20signature.svg
Q37193	Robert%20Koch%20signature.svg
Q37217	GRW249%20Tyutchev%20signature.png
Q37327	Samuel%20Beckett%20signature.svg
Q37388	Francis%20Bacon%20Signature.svg
Q37463	Signature%20de%20Pierre%20Curie.png
Q37571	Jackson%20Pollock%20Signature.svg
Q37577	John%20Calvin%20signature.svg
Q37610	David%20Ben-Gurion%20signature.svg
Q37615	Luciano%20Pavarotti%20Signature.svg
Q37621	Unterschrift%20Thomas%20Hobbes%20englischer%20Mathematiker%2C%20Staatstheoretiker%20und%20Philosoph.png
Q37693	Paul%20Gauguin%20signature.png
Q37767	TS%20Eliot%20Signature.svg
Q38049	Herta%20Mueller%20signature.png
Q38082	LewisCarrollAutograph%20vector.svg
Q38193	Arthur%20Schopenhauer%20Signature.svg
Q38203	Helen%20keller%20signature.svg
Q38337	Alexandre%20Dumas%20Signature.svg
Q38370	HenryVIIISig.svg
Q38392	Faulkner%20signature.png
Q38484	Romano%20Prodi%20signature.svg
Q38573	Walter%20Jens%2C%20Signatur%20in%20Zur%20Antike%20%281978%29.jpg
Q38757	Bertolt%20Brecht%20Signature.svg
Q38823	Ruhollah%20Khomeini%20signature.svg
Q38873	Signatur%20Lou%20Andreas-Salom%C3%A9.JPG
Q39212	John%20Steinbeck%20signature.svg
Q39246	Richard%20Feynman%20signature.svg
Q39259	Signature%20Recep%20Tayyip%20Erdogan.svg
Q39524	Nasser%20signature.svg
Q39599	Huygens%20black%20%26%20white%20signature.jpg
Q39607	Antoine%20Lavoisier%20Signature.svg
Q39803	Mario%20Vargas%20Llosa%20Signature.svg
